Gene	PVALUE
KCNQ2	0.0491
KCNQ3	2.32E-04
KCNQ5	0.00105
KCNS3	0.0281
KCNT1	0.00322
KCNT2	0.0075
KCNU1	1.99E-04
KCNV1	3.55E-04
KCTD1	3.53E-04
KCTD10	0.0352
KCTD12	5.62E-04
KCTD15	0.013
KCTD16	0.00187
KCTD18	0.0161
KCTD21	0.0482
KCTD8	0.0168
KDELC2	0.00537
KDELR2	3.43E-04
KDM1B	0.0124
KDM4A	0.00373
KDM4C	9.49E-04
KDM6B	1.39E-04
KDM7A	8.80E-04
KDM8	3.92E-04
KEAP1	0.0185
KEL	0.0357
KERA	5.30E-04
KHDRBS2	2.19E-04
KHDRBS3	0.00404
KIAA0141	0.0285
KIAA0232	0.00241
KIAA0319	0.0139
KIAA0391	0.0165
KIAA0408	0.00258
KIAA0753	0.0271
KIAA0825	0.00754
KIAA1024	0.0288
KIAA1211	0.00129
KIAA1217	0.00201
KIAA1324	0.00704
KIAA1324L	8.62E-04
KIAA1456	0.0264
KIAA1462	0.00268
KIAA1549	0.00524
KIAA1551	0.0166
KIAA1644	0.00248
KIAA1715	0.00249
KIAA1755	0.00647
KIAA1958	0.0453
KIAA2012	0.00676
KIDINS220	4.00E-04
KIF11	0.00371
KIF12	0.0427
KIF13B	0.0425
KIF14	1.08E-04
KIF16B	0.0014
KIF17	0.0482
KIF1A	0.0173
KIF1C	0.0181
KIF21A	2.90E-04
KIF21B	0.0433
KIF24	7.83E-04
KIF26B	0.0143
KIF28P	0.0153
KIF2B	0.00107
KIF4B	0.029
KIF5B	2.24E-04
KIF6	0.0102
KIFAP3	9.51E-04
KIFC3	0.00416
KIR2DS1	1.43E-12
KIRREL	0.00489
KIRREL3	0.00381
KIRREL3-AS3	0.0104
KIT	0.00139
KITLG	1.64E-04
KL	0.00736
KLB	0.0357
KLF12	0.00157
KLF17	0.00356
KLF2	0.0144
KLF3	0.0461
KLF3-AS1	0.0438
KLF4	1.22E-04
KLF5	5.39E-07
KLF6	3.41E-04
KLF7	0.00111
KLF9	0.0418
KLHDC4	0.0437
KLHDC7A	0.00353
KLHL1	0.0251
KLHL14	0.00216
KLHL22	0.00865
KLHL23	1.11E-06
KLHL24	0.0122
KLHL25	0.0217
KLHL26	0.0339
KLHL29	0.00573
KLHL3	4.99E-04
KLHL30	0.00422
KLHL32	6.51E-07
KLHL33	0.00838
KLHL35	0.0234
KLHL36	0.0383
KLHL5	0.00229
KLHL7	0.0205
KLHL7-AS1	0.0237
KLKB1	6.83E-05
KLRB1	3.57E-07
KLRC1	0.016
KLRC2	1.17E-05
KLRC4	0.00471
KLRD1	0.00235
KLRK1	2.81E-05
KNCN	0.0122
KPNA2	0.0298
KPNA3	0.0249
KPNA4	0.00244
KRI1	0.0459
KRR1	0.00765
KRT18	0.0136
KRT24	0.0251
KRT27	0.0292
KRT28	0.0312
KRT34	0.0344
KRT5	0.0363
KRT78	0.0145
KRT80	0.0316
KRTAP17-1	0.0235
KRTAP19-8	2.46E-05
KRTAP21-2	8.82E-04
KRTAP26-1	0.0499
KRTAP8-1	1.78E-05
KRTDAP	0.0101
KSR1	0.00496
KSR2	3.63E-04
KY	0.00101
KYNU	2.15E-04
L3MBTL1	0.0286
L3MBTL3	8.99E-05
L3MBTL4	0.011
LACC1	0.00792
LAIR2	0.00359
LAMA1	0.0102
LAMA2	0.0196
LAMA3	0.0347
LAMA4	0.0223
LAMA5	7.15E-05
LAMB1	0.00844
LAMB3	0.0234
LAMB4	0.0219
LANCL2	7.36E-05
LAPTM4B	0.0177
LARGE	0.00111
LARP4	9.72E-05
LARS2	0.00476
LBH	0.0113
LCA5	0.0353
LCE2B	0.0359
LCE3E	0.039
LCLAT1	0.0317
LCN1	0.029
LCORL	7.06E-04
LCP2	0.0389
LDAH	0.023
LDB2	0.0167
LDB3	0.0257
LDHAP3	0.0182
LDHC	0.0277
LDLR	0.0473
LDLRAD3	0.00508
LDLRAD4	0.0184
LECT2	0.041
LEF1-AS1	0.00327
LEFTY2	0.0156
LEKR1	0.0269
LEMD2	0.0108
LEP	0.0285
LEPR	0.0341
LETM1	0.0461
LETMD1	6.87E-04
LEXM	0.0248
LGALS13	0.0105
LGALS16	0.00366
LGALS2	0.0494
LGALS8	0.0128
LGALSL	0.00895
LGR5	0.0159
LHFP	0.0201
LHFPL3	0.00258
LHPP	0.0255
LHX4	0.0214
LHX6	0.00586
LHX8	0.0101
LHX9	0.00289
LIFR	0.0141
LIG4	0.0467
LILRA4	0.023
LIMA1	3.92E-04
LIMCH1	0.0237
LIMD1	8.05E-04
LIN52	0.0201
LIN54	0.0178
LIN7A	0.0499
LINC00052	0.00311
LINC00092	0.0439
LINC00111	0.0454
LINC00113	0.0182
LINC00160	0.0253
LINC00161	0.0061
LINC00202-1	0.00844
LINC00208	0.00497
LINC00221	0.0489
LINC00222	0.018
LINC00229	0.0068
LINC00240	0.0166
LINC00261	0.00403
LINC00264	0.00227
LINC00271	0.00334
LINC00284	0.00528
LINC00290	0.00159
LINC00298	0.0195
LINC00299	0.00149
LINC00303	0.0463
LINC00305	0.00149
LINC00308	0.0136
LINC00311	0.00623
LINC00314	0.00646
LINC00320	2.50E-04
LINC00323	0.0269
LINC00327	0.00582
LINC00330	0.0489
LINC00343	0.0162
LINC00347	0.00256
LINC00402	0.0205
LINC00410	0.0244
LINC00426	0.0295
LINC00458	4.35E-04
LINC00461	0.0383
LINC00472	0.00539
LINC00473	0.0316
LINC00474	0.039
LINC00476	0.00118
LINC00477	0.0118
LINC00486	0.0466
LINC00494	0.00118
LINC00518	0.021
LINC00520	0.0372
LINC00536	0.00109
LINC00578	0.00112
LINC00588	8.01E-05
LINC00589	0.00104
LINC00592	0.0283
LINC00593	0.00116
LINC00596	0.0101
LINC00598	9.07E-04
LINC00605	0.0194
LINC00607	0.0136
LINC00610	0.0461
LINC00613	0.0476
LINC00615	0.0173
LINC00624	5.43E-04
LINC00626	0.0451
LINC00639	0.00643
LINC00640	0.00113
LINC00642	0.0157
LINC00645	0.0392
LINC00648	0.0107
LINC00649	0.00908
LINC00673	1.80E-04
LINC00687	0.00924
LINC00691	0.0226
LINC00698	0.0152
LINC00700	0.044
LINC00701	1.01E-04
LINC00702	0.00228
LINC00703	0.0371
LINC00704	0.0123
LINC00707	0.00541
LINC00708	9.03E-09
LINC00709	2.97E-04
LINC00710	1.18E-04
LINC00837	7.11E-04
LINC00838	0.00294
LINC00840	0.0119
LINC00845	0.0256
LINC00852	0.0294
LINC00856	6.23E-04
LINC00861	0.0123
LINC00865	0.02
LINC00870	0.014
LINC00871	0.0124
LINC00877	0.00775
LINC00879	0.0267
LINC00882	0.00147
LINC00884	0.0227
LINC00898	0.00125
LINC00900	0.00915
LINC00901	0.0165
LINC00907	0.00982
LINC00922	0.00568
LINC00924	0.00974
LINC00927	0.0425
LINC00928	0.0368
LINC00929	0.008
LINC00933	0.00119
LINC00939	0.00291
LINC00941	0.0222
LINC00944	2.39E-04
LINC00951	0.00258
LINC00954	0.00665
LINC00964	0.00466
LINC00971	0.00108
LINC00973	0.0277
LINC00977	0.0304
LINC00996	0.027
LINC00998	0.00189
LINC01010	0.00843
LINC01013	0.0347
LINC01016	6.32E-05
LINC01019	1.12E-05
LINC01024	0.0463
LINC01056	6.17E-04
LINC01060	3.17E-05
LINC01085	0.0145
LINC01088	0.0156
LINC01091	0.026
LINC01093	0.00164
LINC01098	0.00415
LINC01102	0.0177
LINC01114	3.16E-04
LINC01119	0.00368
LINC01121	0.0151
LINC01132	0.0065
LINC01137	0.00543
LINC01139	0.0139
LINC01142	0.0385
LINC01146	0.0124
LINC01160	0.0167
LINC01191	0.0356
LINC01197	1.22E-04
LINC01205	5.15E-07
LINC01220	0.0168
LINC01226	0.0211
LINC01234	0.026
LINC01235	0.0201
LINC01239	0.0112
LINC01249	0.0379
LINC01257	0.0384
LINC01260	0.00747
LINC01289	0.0212
LINC01299	0.017
LINC01304	0.0218
LINC01310	0.0289
LINC01343	5.58E-04
LINC01346	0.0459
LINC01349	0.0175
LINC01364	0.0222
LINC01366	0.00619
LINC01370	0.0106
LINC01376	0.0357
LINC01405	0.0495
LINC01446	0.00193
LINC01501	0.0061
LINC01541	5.74E-05
LINC01559	0.019
LINC01568	0.00403
LINC01587	0.0363
LINC01588	0.0148
LINC01591	0.0134
LINC01600	0.0381
LINC01606	0.0271
LINC01618	0.0292
LINC01619	0.00463
LINGO1-AS1	0.00775
LINGO2	0.00438
LIPC	0.0167
LIPG	0.0469
LIPH	5.16E-05
LIPK	0.0273
LIPN	0.004
LIPT1	0.0123
LIX1	0.029
LLGL2	2.70E-05
LLPH	0.0436
LMAN1	0.00723
LMBRD1	0.0113
LMCD1	1.66E-05
LMCD1-AS1	0.0421
LMNB1	0.0345
LMO1	0.0124
LMO3	0.0205
LMO4	0.0122
LMO7	0.00878
LMO7DN	0.00717
LMOD1	0.0452
LMOD2	0.0375
LMX1A	2.33E-10
LNPEP	0.00462
LNX1	9.89E-04
LNX2	0.0384
LOXHD1	0.0287
LOXL2	0.0013
LOXL4	2.07E-04
LPAR1	2.70E-04
LPAR3	0.0323
LPCAT1	0.0189
LPO	1.71E-04
LPP	5.18E-05
LRBA	0.0117
LRCH1	0.002
LRFN2	0.00337
LRFN5	9.40E-04
LRGUK	0.0124
LRIG1	0.0133
LRIG2	0.0252
LRIG3	0.00352
LRIT3	1.59E-04
LRP12	0.00393
LRP1B	6.19E-08
LRP2	0.00982
LRP5L	0.0376
LRPPRC	0.0401
LRRC1	0.00592
LRRC10B	3.06E-04
LRRC15	7.67E-04
LRRC16A	0.0142
LRRC16B	0.00993
LRRC2	0.00761
LRRC28	0.00691
LRRC3	0.00834
LRRC30	0.00316
LRRC32	0.00284
LRRC37A6P	0.0036
LRRC3B	0.0107
LRRC4	0.0426
LRRC42	0.00259
LRRC4B	0.0348
LRRC4C	4.81E-04
LRRC7	0.00331
LRRFIP1	0.0106
LRRIQ1	0.0122
LRRIQ3	0.0342
LRRK1	0.0166
LRRN1	0.0342
LRRN2	0.00521
LRRTM4	2.90E-04
LRTOMT	6.78E-04
LSAMP	0.0104
LSM3	0.0101
LSM4	0.0102
LSM6	0.00112
LSM8	0.0269
LSMEM1	0.0294
LSP1	2.09E-05
LSP1P3	4.07E-04
LST1	0.00284
LTA	0.00827
LTB4R	0.00191
LTBP1	0.00747
LTN1	3.51E-07
LUZP1	0.0139
LUZP2	1.89E-04
LUZP6	0.00325
LVRN	0.0024
LY75	0.00375
LY86	0.015
LY96	0.0249
LYN	0.00248
LYPD6	0.02
LYPLAL1	0.0277
LYRM1	0.00644
LYST	6.06E-05
LYZL1	0.00759
LYZL2	0.00315
LYZL4	0.0371
LYZL6	0.0109
LZTS1	0.00593
MACC1	0.00485
MACROD2	2.17E-06
MAD1L1	0.00226
MAD2L1	0.00363
MADD	0.0471
MAEA	0.0487
MAF	0.0163
MAFB	0.0247
MAGI1	9.33E-05
MAGI2	1.58E-04
MAGI2-AS3	0.0146
MALRD1	0.00888
MALSU1	0.0215
MAMDC2	0.00655
MAML1	0.018
MAML2	0.00163
MAML3	0.0182
MAN1A1	0.0305
MAN1C1	0.00771
MANEA	0.0198
MAP10	7.83E-04
MAP1B	0.0185
MAP2	0.0461
MAP2K1	0.0447
MAP2K4	0.043
MAP2K5	0.0186
MAP2K6	0.00116
MAP3K1	0.0013
MAP3K14	0.0252
MAP3K5	5.90E-05
MAP3K7	8.52E-06
MAP3K7CL	8.05E-04
MAP3K9	0.0102
MAP4K3	0.00796
MAP4K4	0.00748
MAP4K5	0.0317
MAP7	4.57E-04
MAP9	0.00739
MAPK10	0.0304
MAPK13	4.15E-04
MAPK14	0.00232
MAPK4	0.00173
MAPK8	5.97E-04
MAPKAP1	0.00497
MAPKAPK2	0.023
MAPRE2	0.00593
MARC1	0.00551
MARC2	1.53E-04
MARCH1	0.0049
MARCH10	0.0412
MARCH4	0.0431
MARCH5	0.00333
MARCH6	0.0267
MARCH7	0.0459
MARCH8	0.0326
MARCKS	0.0146
MARK1	0.0193
MASP1	0.023
MAST1	0.00155
MAST2	0.0116
MAST4	0.0119
MASTL	4.28E-04
MAT2B	0.021
MATN1	0.0116
MATN2	0.00779
MAVS	0.00759
MAX	0.0138
MB	6.13E-06
MB21D2	0.0228
MBD2	0.0119
MBD5	4.34E-05
MBIP	0.0329
MBL2	2.21E-04
MBLAC2	0.00605
MBNL1	0.0016
MBNL2	0.0201
MBOAT1	1.19E-07
MBOAT2	0.0368
MBP	0.00975
MBTPS1	0.00251
MC2R	0.00491
MC4R	0.00482
MC5R	0.0174
MCC	0.0208
MCF2L2	0.00926
MCHR1	0.0341
MCHR2-AS1	0.0313
MCM2	0.0134
MCM3	0.0115
MCM3AP	0.0458
MCOLN3	0.0152
MCPH1	0.00406
MCTP1	7.46E-04
MCTP2	8.22E-04
MDGA1	0.0109
MDGA2	1.17E-04
MDN1	2.25E-04
ME1	0.0197
ME3	0.00731
MECR	0.0191
MED10	0.0227
MED12L	0.0392
MED13	0.00298
MED13L	0.00343
MED15	8.53E-04
MED17	0.0172
MED22	0.0256
MED28	0.0327
MED30	0.0487
MED9	0.00742
MEF2A	0.0115
MEF2C	5.12E-04
MEG3	0.0117
MEG9	1.87E-08
MEGF10	8.80E-04
MEGF11	0.00115
MEIS1-AS3	0.0392
MEIS2	7.00E-04
MEOX2	0.00467
MEP1A	0.0288
MEPE	0.00799
MERTK	0.0349
MET	0.00922
METAP2	0.0458
METTL11B	0.0197
METTL13	0.0276
METTL15	0.0333
METTL16	6.13E-04
METTL18	0.0132
METTL21C	0.0359
METTL4	7.42E-04
METTL7B	0.0164
METTL8	6.64E-05
MEX3B	0.0185
MEX3C	0.00124
MFAP3	0.00619
MFAP5	0.0222
MFHAS1	0.00194
MFSD11	0.017
MFSD4B	0.0468
MFSD5	0.00104
MFSD6	0.00998
MGAM	0.00562
MGAT4A	2.40E-04
MGAT4C	0.00732
MGAT5	1.14E-06
MGAT5B	0.0173
MGMT	0.00119
MGST2	0.0178
MIA2	0.023
MIAT	0.00311
MICA	2.30E-09
MICAL2	0.0194
MICALCL	0.0104
MICALL2	0.00247
MICU1	0.00616
MIER3	0.0236
MIOS	0.0161
MIPEP	0.0189
MIR100	4.78E-04
MIR1202	0.00176
MIR1205	8.83E-04
MIR1207	0.0118
MIR1208	4.93E-04
MIR124-2HG	0.0105
MIR1252	0.0329
MIR1257	0.045
MIR125B1	0.00518
MIR1261	0.0154
MIR1263	0.0326
MIR1265	0.0172
MIR1268A	0.0145
MIR1269A	0.0103
MIR129-1	1.24E-05
MIR129-2	0.0487
MIR1302-1	0.00588
MIR1302-6	2.03E-04
MIR1303	0.00305
MIR1305	0.0146
MIR135A2	1.10E-04
MIR138-1	0.0253
MIR143	0.00617
MIR146A	0.00254
MIR147A	0.0135
MIR147B	0.0351
MIR148A	0.0223
MIR154	0.0425
MIR17HG	0.0101
MIR181A1HG	0.003
MIR182	0.0118
MIR187	0.0429
MIR190A	1.60E-04
MIR205	0.0336
MIR2052HG	0.042
MIR206	0.0185
MIR2113	0.00519
MIR216B	0.00685
MIR217	0.00497
MIR296	2.05E-05
MIR297	0.0143
MIR30D	0.0138
MIR331	0.0184
MIR3650	0.0235
MIR3681HG	3.31E-04
MIR377	0.0287
MIR3976HG	0.0476
MIR422A	0.0336
MIR4290HG	0.00434
MIR4468	0.0179
MIR4500HG	0.00856
MIR4640	0.021
MIR4720	0.0251
MIR548A1	0.0264
MIR548F1	0.0451
MIR548H4	0.00713
MIR548I2	0.00834
MIR548W	8.81E-04
MIR552	0.0213
MIR563	0.00225
MIR572	0.0169
MIR582	0.0238
MIR606	0.0102
MIR622	2.94E-04
MIR648	0.0149
MIR708	1.08E-05
MIR802	0.0309
MIR873	8.97E-04
MIR876	0.0374
MIR99AHG	0.00852
MITF	0.0042
MKI67	0.00893
MKL1	0.0256
MKLN1	0.00893
MKRN1	0.0231
MKRN2	0.0172
MKRN3	0.0177
MKRN9P	0.0184
MLF1	0.00135
MLIP	0.0141
MLLT1	0.022
MLLT3	0.0127
MLN	0.0135
MMAA	0.0261
MMAB	0.0193
MMD	0.00326
MME	0.0308
MMP15	0.0434
MMP16	0.0117
MMP2	0.0169
MMP20	0.0186
MMP24	0.0206
MMRN1	0.00292
MMS19	0.0135
MN1	1.60E-05
MNDA	0.0457
MNS1	0.0101
MOB3B	0.00169
MOBP	0.00483
MOCOS	0.0136
MON1A	0.017
MON1B	0.00112
MORC1	0.0439
MOV10L1	0.017
MPHOSPH6	0.00181
MPP4	0.046
MPP7	0.0371
MPPED2	0.0044
MPZL1	0.0172
MR1	0.0039
MRAP	0.0361
MRAP2	0.0221
MRAS	0.00106
MRE11A	0.0336
MRGPRX1	0.0328
MRM1	0.026
MRO	0.00563
MROH2A	0.0305
MROH2B	0.017
MROH5	0.00223
MROH7	3.49E-04
MROH9	0.0397
MRPL1	0.0213
MRPL19	0.0213
MRPL23	0.028
MRPL37	0.00527
MRPL38	0.0432
MRPL39	0.00959
MRPL48	0.0248
MRPL57	0.0418
MRPS10	0.0251
MRPS14	0.0209
MRPS18A	0.046
MRPS18B	4.28E-05
MRPS23	2.53E-05
MRPS28	0.00853
MRPS33	0.00879
MS4A10	0.0171
MS4A12	0.036
MS4A13	0.0356
MS4A5	0.0289
MSANTD2	0.00661
MSC-AS1	0.00302
MSGN1	5.45E-04
MSH2	0.0263
MSH3	0.014
MSH5	1.36E-04
MSI1	3.23E-06
MSI2	2.82E-08
MSR1	0.00126
MSRA	0.00184
MSRB2	7.66E-04
MSRB3	0.00722
MSTN	0.0326
MSX1	0.00692
MSX2	6.09E-05
MT4	0.0453
MTAP	0.0201
MTBP	4.07E-04
MTCL1	0.00364
MTDH	0.032
MTFMT	0.0203
MTFR2	0.0293
MTHFD1L	0.00192
MTHFD2L	0.00637
MTMR14	0.0419
MTMR3	0.0441
MTMR6	0.0453
MTMR7	0.0259
MTNR1A	0.0157
MTNR1B	0.0354
MTOR	0.00666
MTR	0.00641
MTRF1	0.0299
MTRNR2L2	0.0266
MTRR	0.0234
MTSS1	0.00239
MTSS1L	0.046
MTURN	0.00881
MTUS1	0.0113
MTUS2	0.00401
MTX2	0.0155
MTX3	0.00776
MUC13	0.0392
MUC16	0.0448
MUC17	0.0216
MUC21	1.52E-17
MUC22	0.00496
MUSK	0.0363
MVB12B	0.00318
MVK	0.00564
MX2	0.0141
MXD4	0.0139
MXRA7	0.0231
MYADML	1.22E-04
MYB	0.0313
MYC	0.00561
MYCBPAP	2.31E-04
MYCL	0.0127
MYCN	0.0203
MYCNOS	0.0157
MYD88	0.00852
MYEOV	0.0138
MYH10	0.0414
MYH11	0.0127
MYH16	0.0478
MYH2	0.00643
MYH7B	0.0131
MYH8	9.17E-04
MYH9	0.0458
MYL10	0.00444
MYL6P5	0.00483
MYLIP	0.0173
MYLK	0.0328
MYLK4	0.0182
MYO10	0.00864
MYO16	0.00679
MYO18A	0.0336
MYO18B	9.92E-05
MYO1B	0.00564
MYO1D	0.00381
MYO1E	0.00855
MYO1G	0.00127
MYO3B	0.00347
MYO5A	0.0137
MYO5B	0.0068
MYO5C	0.0109
MYO7B	0.00381
MYO9A	0.03
MYOCD	0.0324
MYOF	0.0075
MYOM1	0.0394
MYOM2	0.00574
MYOM3	0.0442
MYPN	0.0457
MYRF	0.00199
MYRFL	0.00516
MYRIP	0.00776
MYT1L	6.04E-04
MYZAP	9.69E-08
MZT1	0.00125
N4BP2	0.00499
N6AMT1	6.58E-04
NAA60	0.0026
NAALADL2	0.00639
NAALADL2-AS3	0.00455
NAB1	0.00148
NABP1	0.043
NACA2	0.0222
NACAP1	0.0219
NALCN	9.56E-05
NAMPT	0.00562
NAT1	0.0157
NAT2	0.00258
NAV1	0.0012
NAV2	3.48E-05
NAV2-AS4	0.00929
NAV3	0.0167
NBAS	0.0308
NBAT1	0.0151
NBEA	0.0107
NBEAL1	0.00383
NCALD	0.00187
NCAM1	0.00634
NCAM2	0.00998
NCAPD3	0.00156
NCAPH	0.0288
NCEH1	0.0323
NCF2	0.0411
NCF4	0.0013
NCK2	0.00122
NCKAP5	5.15E-04
NCLN	0.00234
NCMAP	0.017
NCOA1	0.00423
NCOA2	9.37E-05
NCOA4	0.0038
NCOR1	0.0487
NCOR2	0.0112
NCR2	0.039
NDC1	0.0212
NDC80	0.0187
NDFIP1	0.0147
NDFIP2	0.0102
NDN	0.00231
NDRG1	3.58E-04
NDRG4	5.48E-04
NDST1	0.00782
NDST3	0.0136
NDST4	0.044
NDUFA10	3.23E-04
NDUFA12	0.0405
NDUFA4	2.12E-04
NDUFA9	0.00858
NDUFAF2	0.0367
NDUFAF4	0.038
NDUFAF7	0.00317
NDUFB5	0.00579
NDUFB6	3.67E-04
NDUFS4	0.00173
NDUFS5	0.0245
NDUFV2	0.00822
NEAT1	0.0109
NEB	0.0256
NEBL	0.0191
NECTIN3	0.0201
NEDD1	0.00485
NEDD4L	0.0039
NEDD9	0.00181
NEFM	0.0461
NEGR1	4.76E-04
NEIL2	0.016
NEK1	0.0481
NEK4	0.0303
NEK5	0.0291
NEK6	0.0196
NEK7	0.0362
NELL1	8.83E-04
NELL2	0.0431
NETO1	0.00132
NEU2	0.0308
NEURL1	0.0483
NEURL1B	0.0207
NEUROD1	0.00229
NEUROD2	0.00151
NEUROD4	0.0134
NEUROD6	0.00841
NEUROG3	9.25E-04
NF1	2.84E-04
NFASC	0.00289
NFATC2	0.00693
NFE2L1	0.00574
NFE2L2	0.012
NFIA	0.00354
NFIB	0.00336
NFIL3	0.00186
NFKB1	0.0151
NFKBIA	0.0104
NFKBIB	0.0445
NFKBIL1	0.00378
NGEF	0.046
NGF	0.00396
NGFR	0.00282
NHLRC1	0.0485
NHLRC2	7.53E-05
NID1	0.0037
NIFK	0.00321
NINJ2	0.0423
NINL	0.00715
NIPAL2	0.00122
NKAIN1	0.0282
NKAIN2	0.00126
NKAIN3	0.00215
NKD1	0.00907
NKX2-2	0.0251
NKX2-8	0.0153
NKX6-1	0.019
NLGN1	0.0123
NLN	0.00131
NLRC4	0.0288
NLRC5	0.035
NLRP1	0.00206
NLRP13	0.00484
NLRP4	0.0274
NLRP8	0.0362
NMD3	0.0234
NME7	0.0133
NME8	0.0273
NMI	0.0365
NMNAT3	0.00898
NMU	1.69E-04
NMUR2	0.00802
NNT	0.0235
NOCT	0.00547
NOD1	5.88E-04
NOD2	0.00242
NODAL	0.0343
NOG	0.0212
NOL11	0.0251
NOS1AP	0.0153
NOS2	0.0498
NOTCH2NL	0.00344
NOTCH4	0.00147
NOV	0.019
NOVA1	0.0131
NOX3	0.00149
NPAS2	0.0157
NPAS3	2.36E-04
NPBWR1	0.00157
NPBWR2	0.00513
NPHP1	0.012
NPHP4	0.00857
NPIPB11	0.031
NPR3	0.0284
NPS	0.0298
NPSR1	0.0333
NPSR1-AS1	0.028
NPTN	0.0456
NPTXR	0.0118
NPVF	0.00198
NPY	9.87E-04
NR1D2	0.00597
NR1H4	0.00642
NR1I2	0.0362
NR2C2	0.0034
NR2F1-AS1	0.00415
NR2F2-AS1	0.00335
NR3C2	0.00377
NR4A2	0.00162
NR5A2	4.95E-10
NRAP	0.0159
NRCAM	0.0223
NRDC	0.0205
NREP	0.0164
NRF1	0.00353
NRG1	0.0103
NRG2	0.0492
NRG3	0.00211
NRIP1	0.00103
NRN1	0.0048
NRP1	0.00114
NRP2	0.0146
NRSN1	0.00208
NRXN1	1.54E-06
NRXN2	0.0261
NRXN3	0.00128
NSFL1C	0.00503
NSMAF	0.0156
NSMCE3	0.00744
NSUN2	0.0019
NSUN3	0.041
NSUN6	0.018
NT5C1B	0.00285
NT5C2	0.0315
NT5C3A	0.0443
NT5DC1	0.00229
NT5DC3	0.0218
NT5E	0.0328
NTF3	0.0421
NTM	0.00476
NTMT1	0.00518
NTN1	0.0111
NTNG1	0.00379
NTNG2	5.90E-04
NTPCR	0.0248
NTRK2	0.00614
NTRK3	4.98E-04
NTRK3-AS1	0.0016
NTSR1	0.00413
NUAK1	0.00952
NUBPL	0.00339
NUDCD1	0.0192
NUDT12	0.001
NUDT18	0.0389
NUDT3	0.0035
NUDT7	0.00153
NUF2	8.22E-04
NUFIP1	0.02
NUMA1	0.00666
NUMB	0.0464
NUMBL	0.0141
NUP133	0.0237
NUP35	6.43E-07
NUP50-AS1	0.0232
NUP54	0.0188
NUP93	0.0452
NUPL2	0.0221
NUS1	0.0275
NWD1	0.0271
NWD2	0.00101
NXN	0.00974
NXNL2	0.0312
NXPE2	0.0014
NXPH1	3.44E-04
NXPH2	7.86E-05
NXT1	0.00123
NYAP2	0.00922
OAF	0.0433
OBP2A	5.38E-05
OBSCN	0.0229
OBSL1	0.0456
OCM2	1.35E-05
ODF1	0.00485
OGDHL	0.0131
OLFM1	0.0024
OLFM3	0.00378
OLFM4	0.00599
OLIG3	2.23E-04
OMA1	0.0154
ONECUT1	0.0382
ONECUT3	0.00628
OOSP2	0.0299
OPA1	0.03
OPCML	2.96E-04
OPRD1	0.0278
OPRK1	0.0376
OPRM1	0.0214
OPTN	0.00458
OR10A2	0.0486
OR10A3	0.015
OR10H3	0.00746
OR10J5	0.0274
OR10S1	0.00238
OR10T2	0.00992
OR10V1	0.00699
OR11A1	1.21E-04
OR12D2	0.0101
OR12D3	9.45E-04
OR13C8	0.0411
OR13D1	0.00492
OR13F1	0.0173
OR1A2	0.0155
OR1F1	0.00162
OR1J2	0.0226
OR1L8	0.0411
OR2A25	0.0335
OR2AG1	0.0298
OR2AG2	0.0324
OR2B6	0.00657
OR2D2	0.0221
OR2D3	0.035
OR2G3	0.0481
OR2H1	0.00182
OR2J3	4.86E-05
OR2K2	0.0122
OR2L13	0.0149
OR2M3	0.042
OR2M4	3.42E-04
OR2M7	0.00947
OR2T6	0.00543
OR2Z1	0.0336
OR4A5	1.59E-06
OR4D10	0.0103
OR4D6	0.00643
OR4L1	0.0485
OR4M1	0.0102
OR51B2	0.0235
OR51B5	0.0094
OR51B6	9.64E-05
OR51E1	7.83E-04
OR51F1	0.0298
OR51F2	0.0432
OR51G1	0.0378
OR51S1	0.0389
OR51T1	0.0412
OR52B2	0.0176
OR52E4	0.00465
OR52H1	0.00341
OR52I2	0.0442
OR52K1	0.0497
OR52K2	0.045
OR52N4	0.0254
OR52R1	0.0157
OR52W1	0.0189
OR56A1	0.0179
OR56A3	0.00485
OR5AC2	0.026
OR5AN1	0.0141
OR5AR1	0.0314
OR5AU1	0.0313
OR5D13	0.0115
OR5D14	0.0418
OR5H15	0.0311
OR5I1	0.0225
OR6C6	4.50E-04
OR6C75	0.0179
OR7E14P	0.0446
OR7E24	0.0277
OR7E91P	0.0178
OR8A1	0.0324
OR8D4	0.00304
OR8U1	0.0157
OR9G4	0.048
OR9Q1	0.00136
ORAI1	0.00544
ORAOV1	0.0344
ORC3	0.00104
ORC5	0.0188
ORMDL1	0.0256
OSBP2	0.0351
OSBPL10	0.00649
OSBPL11	3.13E-04
OSBPL1A	0.0215
OSBPL6	0.00904
OSCP1	0.0109
OSGIN2	0.041
OSMR	0.00179
OSR1	1.22E-05
OSTF1	0.00109
OSTM1	3.85E-04
OSTM1-AS1	0.0397
OTOG	0.0342
OTOGL	6.96E-04
OTOL1	0.0012
OTOR	0.0324
OTUD1	0.00593
OTUD4	0.00151
OTUD7A	0.0271
OTULIN	1.93E-04
OTX2	0.0453
OTX2-AS1	0.0101
OVCH1	4.36E-05
OVCH2	0.0196
OVOL2	0.00238
OXA1L	1.37E-04
OXSR1	0.0128
P2RX7	0.00107
P2RY1	0.00746
P2RY12	0.0308
P2RY6	7.02E-04
P3H2	0.00294
P4HA2	0.00251
P4HA3	0.0068
PAAF1	0.0198
PABPC1P2	0.0283
